ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Cidade,Estado,ID_Produto,Categoria,SubCategoria,Valor_Venda
CA-2017-152156,08/11/2017,CG-12520,Consumidor,Brasil,São José da Tapera,Alagoas,FUR-BO-10001798,Decoração,Bookcases,261.96
CA-2017-152156,08/11/2017,CG-12520,Consumidor,Brasil,Bom Jesus,Rio Grande do Sul,FUR-CH-10000454,Decoração,Chairs,731.94
CA-2017-138688,12/06/2017,DV-13045,Corporate,Brasil,Anita Garibaldi,Santa Catarina,OFF-LA-10000240,Papelaria,Labels,14.62
US-2016-108966,11/10/2016,SO-20335,Consumidor,Brasil,Firminópolis,Goiás,FUR-TA-10000577,Decoração,Tables,957.5775
US-2016-108966,11/10/2016,SO-20335,Consumidor,Brasil,Douradina,Mato Grosso do Sul,OFF-ST-10000760,Papelaria,Storage,22.368
CA-2015-115812,09/06/2015,BH-11710,Consumidor,Brasil,Canarana,Mato Grosso,FUR-FU-10001487,Decoração,Furnishings,48.86
CA-2015-115812,09/06/2015,BH-11710,Consumidor,Brasil,Itaquitinga,Pernambuco,OFF-AR-10002833,Papelaria,Art,7.28
CA-2015-115812,09/06/2015,BH-11710,Consumidor,Brasil,Entre Rios,Santa Catarina,TEC-PH-10002275,Aparelhos,Phones,907.152
CA-2015-115812,09/06/2015,BH-11710,Consumidor,Brasil,Itajaí,Santa Catarina,OFF-BI-10003910,Papelaria,Binders,18.504
CA-2015-115812,09/06/2015,BH-11710,Consumidor,Brasil,Santo Antônio do Sudoeste,Paraná,OFF-AP-10002892,Papelaria,Appliances,114.9
CA-2015-115812,09/06/2015,BH-11710,Consumidor,Brasil,Palmares do Sul,Rio Grande do Sul,FUR-TA-10001539,Decoração,Tables,1706.184
CA-2015-115812,09/06/2015,BH-11710,Consumidor,Brasil,Serra Branca,Paraíba,TEC-PH-10002033,Aparelhos,Phones,911.424
CA-2018-114412,15/04/2018,AA-10480,Consumidor,Brasil,Encruzilhada,Bahia,OFF-PA-10002365,Papelaria,Paper,15.552
CA-2017-161389,05/12/2017,IM-15070,Consumidor,Brasil,Xaxim,Santa Catarina,OFF-BI-10003656,Papelaria,Binders,407.976
US-2016-118983,22/11/2016,HP-14815,Home Office,Brasil,Ariquemes,Rondônia,OFF-AP-10002311,Papelaria,Appliances,68.81
US-2016-118983,22/11/2016,HP-14815,Home Office,Brasil,Primavera,Pará,OFF-BI-10000756,Papelaria,Binders,2.544
CA-2015-105893,11/11/2015,PK-19075,Consumidor,Brasil,Cascavel,Ceará,OFF-ST-10004186,Papelaria,Storage,665.88
CA-2015-167164,13/05/2015,AG-10270,Consumidor,Brasil,Icém,São Paulo,OFF-ST-10000107,Papelaria,Storage,55.5
CA-2015-143336,27/08/2015,ZD-21925,Consumidor,Brasil,Pontalinda,São Paulo,OFF-AR-10003056,Papelaria,Art,8.56
CA-2015-143336,27/08/2015,ZD-21925,Consumidor,Brasil,Bandeirantes do Tocantins,Tocantins,TEC-PH-10001949,Aparelhos,Phones,213.48
CA-2015-143336,27/08/2015,ZD-21925,Consumidor,Brasil,Campos Gerais,Minas Gerais,OFF-BI-10002215,Papelaria,Binders,22.72
CA-2017-137330,09/12/2017,KB-16585,Corporate,Brasil,Érico Cardoso,Bahia,OFF-AR-10000246,Papelaria,Art,19.46
CA-2017-137330,09/12/2017,KB-16585,Corporate,Brasil,Paraíso do Norte,Paraná,OFF-AP-10001492,Papelaria,Appliances,60.34
US-2018-156909,16/07/2018,SF-20065,Consumidor,Brasil,Ipiaçu,Minas Gerais,FUR-CH-10002774,Decoração,Chairs,71.372
CA-2016-106320,25/09/2016,EB-13870,Consumidor,Brasil,Paraíso do Sul,Rio Grande do Sul,FUR-TA-10000577,Decoração,Tables,1044.63
CA-2017-121755,16/01/2017,EH-13945,Consumidor,Brasil,Lambari D'Oeste,Mato Grosso,OFF-BI-10001634,Papelaria,Binders,11.648
CA-2017-121755,16/01/2017,EH-13945,Consumidor,Brasil,Cerro Negro,Santa Catarina,TEC-AC-10003027,Aparelhos,Accessories,90.57
US-2016-150630,17/09/2016,TB-21520,Consumidor,Brasil,Nova Ponte,Minas Gerais,FUR-BO-10004834,Decoração,Bookcases,3083.43
US-2016-150630,17/09/2016,TB-21520,Consumidor,Brasil,Formosa do Rio Preto,Bahia,OFF-BI-10000474,Papelaria,Binders,9.618
US-2016-150630,17/09/2016,TB-21520,Consumidor,Brasil,Vigia,Pará,FUR-FU-10004848,Decoração,Furnishings,124.2
US-2016-150630,17/09/2016,TB-21520,Consumidor,Brasil,Perdigão,Minas Gerais,OFF-EN-10001509,Papelaria,Envelopes,3.264
US-2016-150630,17/09/2016,TB-21520,Consumidor,Brasil,Auriflama,São Paulo,OFF-AR-10004042,Papelaria,Art,86.304
US-2016-150630,17/09/2016,TB-21520,Consumidor,Brasil,Mairinque,São Paulo,OFF-BI-10001525,Papelaria,Binders,6.858
US-2016-150630,17/09/2016,TB-21520,Consumidor,Brasil,Cachoeira de Goiás,Goiás,OFF-AR-10001683,Papelaria,Art,15.76
CA-2018-107727,19/10/2018,MA-17560,Home Office,Brasil,Turuçu,Rio Grande do Sul,OFF-PA-10000249,Papelaria,Paper,29.472
CA-2017-117590,08/12/2017,GH-14485,Corporate,Brasil,Charrua,Rio Grande do Sul,TEC-PH-10004977,Aparelhos,Phones,1097.544
CA-2017-117590,08/12/2017,GH-14485,Corporate,Brasil,Raul Soares,Minas Gerais,FUR-FU-10003664,Decoração,Furnishings,190.92
CA-2016-117415,27/12/2016,SN-20710,Home Office,Brasil,Porto Belo,Santa Catarina,OFF-EN-10002986,Papelaria,Envelopes,113.328
